"","Time","pp","pp_nr2"
"179",178,"0.00368957407772541","0.00368215616120075"
"180",179,"0.00312870348404561","0.00358102633536935"
"181",180,"0.003717149986187","0.00360857817883443"
"182",181,"0.00335374787183745","0.00361837233518402"
"183",182,"0.0033821676126016","0.00361533134068184"
"184",183,"0.0037939932954032","0.00364490014306021"
"185",184,"0.00346419680863619","0.00364253803061867"
"186",185,"0.00338651725490178","0.00367074789997845"
"187",186,"0.00350683821099145","0.00376144498639465"
"188",187,"0.0037380502326414","0.00394086041046585"
"189",188,"0.00465627370535263","0.0041769717175303"
"190",189,"0.00388255817233585","0.00428299996878332"
"191",190,"0.00449076930194029","0.00456188577088305"
"192",191,"0.00556238822173327","0.00496670549064629"
"193",192,"0.00641169485503009","0.00517187139971677"
"194",193,"0.00442148387082852","0.00483473307807841"
"195",194,"0.00394988638748016","0.00447571979686642"
"196",195,"0.00412811530986801","0.00432870563911289"
"197",196,"0.00438790821603366","0.00434620192341762"
"198",197,"0.00404092081589624","0.00436242428179643"
"199",198,"0.00463807117193937","0.00450447941345367"
"200",199,"0.00497501355130225","0.00466083565195106"
"201",200,"0.00446624994011862","0.00472025252808835"
"202",201,"0.00528593749428789","0.00493383541667751"
"203",202,"0.00522399633856756","0.00499736535721437"
"204",203,"0.00470746422070079","0.00494341800496903"
"205",204,"0.0051441832578608","0.00499446312333691"
"206",205,"0.00474593191756867","0.00498751811156333"
"207",206,"0.00518972686092768","0.00491566134118956"
"208",207,"0.00454499461920932","0.00484404147718539"
"209",208,"0.00480024175097545","0.00488506819030241"
"210",209,"0.00545720767695457","0.00498213325271744"
"211",210,"0.00435367422843618","0.00494344752961133"
"212",211,"0.0057610766380094","0.00507162431030684"
"213",212,"0.00487431438107576","0.00503378105279877"
"214",213,"0.00462037665420212","0.00493777139549845"
"215",214,"0.00524564220436982","0.00521533952575469"
"216",215,"0.00646568823140115","0.0055025731914897"
"217",216,"0.00609063270634839","0.00562780402490844"
"218",217,"0.00521326481248252","0.00545653221787804"
"219",218,"0.00535850814776495","0.00529763533157723"
"220",219,"0.00482162303524092","0.00525597596038972"
"221",220,"0.00624310112159167","0.00539661075023803"
"222",221,"0.00582428899360821","0.00544557792357561"
"223",222,"0.00597155719463314","0.00528021820647367"
"224",223,"0.00427989533636719","0.004924593130339"
"225",224,"0.00435585056298545","0.00466930930059377"
"226",225,"0.00469952606363222","0.004583510925662"
"227",226,"0.00414484735977437","0.0044955370040149"
"228",227,"0.00462589634116739","0.00453303606004879"
"229",228,"0.00444137617679579","0.00448571735251658"
"230",229,"0.00457014417042956","0.00444173273774933"
"231",230,"0.00428985235547381","0.00437516815315798"
"232",231,"0.00433595484355465","0.00430187452888863"
"233",232,"0.00410145328247121","0.00419402416896676"
"234",233,"0.00375776260625571","0.00412862286683483"
"235",234,"0.00437114105027701","0.00419320734387523"
"236",235,"0.00395128858508542","0.00423954175491587"
"237",236,"0.00468145031481981","0.00438968623094147"
"238",237,"0.00467079016380012","0.00443441756194825"
"239",238,"0.00438205844589642","0.00437779679334636"
"240",239,"0.00455204193713143","0.0043745216922198"
"241",240,"0.00445063425494092","0.00432110753243556"
"242",241,"0.00407257152255625","0.00428679255804954"
"243",242,"0.00415060366503894","0.00437288833442352"
"244",243,"0.00553587917238474","0.00453953425861795"
"245",244,"",""
"246",245,"0.0046416312522654","0.00432165794281895"
"247",246,"0.00313692339113913","0.00390350176508547"
"248",247,"0.00375104972044937","0.00373410365226581"
"249",248,"0.00298287307045289","0.00362227522537841"
"250",249,"0.00343304165289737","0.00371718632146091"
"251",250,"0.00436137689393945","0.0038726673745053"
"252",251,"0.00440922362862953","0.00395904741924433"
"253",252,"0.00354440452065319","0.00391528171165676"
"254",253,"0.00389355816878378","0.00388623143233615"
"255",254,"0.00392715918133035","0.00394431792812287"
"256",255,"0.0043616535009018","0.00406715087564735"
"257",256,"0.00429364203591831","0.00405531909668555"
"258",257,"0.00384438214158373","0.0039976334692702"
"259",258,"0.00448532510199584","0.00402256770972067"
"260",259,"0.00380640121875331","0.00395645526460568"
"261",260,"0.00376586144557223","0.00385968482431473"
"262",261,"0.00422442331910133","0.00387665997318262"
"263",262,"0.00394306873204187","0.00382393261008091"
"264",263,"0.00325187754684261","0.00370198870501603"
"265",264,"0.00390761583629582","0.00377630363735484"
"266",265,"0.00378323013761214","0.00384186328578138"
"267",266,"0.00388692269916646","0.00388191958492888"
"268",267,"0.00391313027856605","0.00389559916113143"
"269",268,"0.00401292177331116","0.00393410037044554"
"270",269,"0.00405469111033848","0.00394968070037663"
"271",270,"0.00352478984859772","0.00390593760462169"
"272",271,"0.00421973949830447","0.00398356604228356"
"273",272,"0.00465270486893132","0.0041195165711626"
"274",273,"0.00433255140004413","0.00418797447223991"
"275",274,"0.00415988540044054","0.00423779936742831"
"276",275,"0.00482679797070367","0.0043252024602463"
"277",276,"0.00444230571156368","0.00421131067790597"
"278",277,"0.00410737110567944","0.0040117092788891"
"279",278,"0.003451184311416","0.00386038953284799"
"280",279,"0.00387418240175716","0.00386653621249356"
"281",280,"0.00418201962020248","0.00391607287254788"
"282",281,"0.00393512322833495","0.00400567221785934"
"283",282,"0.00389108704985119","0.00412795687512201"
"284",283,"0.00474560207554272","0.00424118504312645"
"285",284,"0.00395770840077603","0.00426635308739931"
"286",285,"0.00421126396395266","0.00414961114193633"
"287",286,"0.00409219195717014","0.00398550709532136"
"288",287,"0.00384071522525379","0.00379880542441502"
"289",288,"0.00318223232170567","0.00364847434896463"
"290",289,"0.00384901467311595","0.00365661059281149"
"291",290,"0.003440163040068","0.00370164060165495"
"292",291,"0.00370872948717858","0.00384286757846238"
"293",292,"0.00475594928138889","0.00395714109472055"
"294",293,"0.00324619837504412","0.00381257050877348"
"295",294,"0.0036700046621263","0.00385882396824672"
"296",295,"0.00381305913573929","0.00403216815640702"
"297",296,"0.0049254359328188","0.00415647761913298"
"298",297,"0.00384641724771687","0.00404909365565256"
"299",298,"0.00398597930325195","0.0040403048568401"
"300",299,"0.00472268292547337","0.00410749400285482"
"301",300,"0.00381754862610251","0.00394816896297277"
"302",301,"0.00323415650720043","0.00379652351556272"
"303",302,"0.00397414275045906","0.00387876961699216"
"304",303,"0.00422615883871913","0.00400291789548986"
